"en","tr"
"Order Title","Sipariş Başlığı"
"Order description","Sipariş açıklaması"
"Orders","Siparişler"
"REFERENCE","REFERANS"
"REFRESH (50K CR)","YENİLE (50B CR)"
"REPAIR","TAMİR ET"
"REROLL BOARD (2.5K Liras)","PANOYU YENİLE (2.5B Lira)"
"RETREAT","GERİ ÇEKİL"
"Recipe Name","Tarif Adı"
"Refresh in: --","Yenilenme süresi: --"
"Research","Araştırma"
"Research Lab","Araştırma Lab."
"Research Network","Araştırma Ağı"
"Research Required: ...","Gereken Araştırma: ..."
"Reward: 0 CR","Ödül: 0 CR"
"Reward: 1,000 CR","Ödül: 1.000 CR"
"SELL TO UNION","BİRLİĞE SAT"
"SHD: 0 / 0","KLK: 0 / 0"
"SHIELD","KALKAN"
"SHIP","GEMİ"
"STANDING ORDERS","MEVCUT SİPARİŞLER"
"SYSTEM REPORT // OFFLINE LOG","SİSTEM RAPORU // ÇEVRİMDIŞI GÜNLÜK"
"Search by name...","İsme göre ara..."
"Select an Item","Bir Eşya Seçin"
"Sell All Stack","Tüm Yığını Sat"
"Sell Items","Eşyaları Sat"
"Shield: 0","Kalkan: 0"
"Ship Designer","Gemi Tasarımcısı"
"Shipyard","Tersane"
"Slots: 0 / 0","Yuva: 0 / 0"
"Slots: 3","Yuva: 3"
"Sources","Kaynaklar"
"Start","Başlat"
"Stats","İstatistikler"
"Stats...","İstatistikler..."
"Storage","Depo"
"Sys Config","Sistem Yapılandırması"
"Target Acquired","Hedef Tespit Edildi"
"Tech Name","Teknoloji Adı"
"Total: 0","Toplam: 0"
"Totally Untranslated String","Tamamen Çevrilmemiş Metin"
"USS Horizon","USS Horizon"
"UTILITY","YARDIMCI"
"Unit Price: -","Birim Fiyatı: -"
"Uses","Kullanım Alanları"
"WEAPON","SİLAH"
"Warp Core","Warp Çekirdeği"
"XP: 0","TP: 0"
"[ EXPEDITION YIELD ]","[ KEŞİF GETİRİSİ ]"
"[ EXTRACTION RACKS ]","[ ÇIKARMA RAFLARI ]"
"[ LOGISTICS & FABRICATION ]","[ LOJİSTİK & ÜRETİM ]"
"[ ORDNANCE FEED ]","[ MÜHİMMAT BESLEMESİ ]"
"[ POWER SYSTEMS ]","[ GÜÇ SİSTEMLERİ ]"
"[ UNIQUE ]","[ EŞSİZ ]"
"[center]Searching for loot paths...[/center]","[center]Ganimet yolları aranıyor...[/center]"
"↓","↓"
"%s%s","%s%s"
"+0.1 Primordial Matrix (-2.5 Primordial Shard, -1.5 Diamond, -1 Void Lattice)","+0.1 Kadim Matris (-2.5 Kadim Parça, -1.5 Elmas, -1 Hiçlik Kafesi)"
"+0.15 Omega Composite (-3 Omega Plating, -1 Neutronium Plate, -15 Adv Circuit)","+0.15 Omega Kompozit (-3 Omega Kaplama, -1 Nötronyum Plaka, -15 Gelişmiş Devre)"
"+0.2 Bio-Reactor Core (-6 Biohazard Sample, -0.5 Pathogen Core, -1 Quantum Core)","+0.2 Biyo-Reaktör Çekirdeği (-6 Biyotehlike Numunesi, -0.5 Patojen Çekirdeği, -1 Kuantum Çekirdeği)"
"+0.3 Chrono Core","+0.3 Krono Çekirdeği"
"+0.4 Neutronium","+0.4 Nötronyum"
"+0.5 Circuit, +0.1 Alloy (Copper processing)","+0.5 Devre, +0.1 Alaşım (Bakır işleme)"
"+0.6 Composite Weave (-6.3 Fiber, -1.3 Resin)","+0.6 Kompozit Örgü (-6.3 Elyaf, -1.3 Reçine)"
"+0.7 Cell T3","+0.7 Hücre T3"
"+0.8 Chip (-1.6 Semiconductor, -0.8 Au, -4 N)","+0.8 Çip (-1.6 Yarı İletken, -0.8 Au, -4 N)"
"+0.8 Graphite (-4.2 Carbon)","+0.8 Grafit (-4.2 Karbon)"
"+0.8 Slug T3 (-0.8 U, -2.1 Superalloy)","+0.8 Mermi T3 (-0.8 U, -2.1 Süperalaşım)"
"+1.0 StructuralComponent (-10 Fe, -5 Cu, -5 Si, -3 C, -2 Li)","+1.0 Yapısal Bileşen (-10 Fe, -5 Cu, -5 Si, -3 C, -2 Li)"
"+1.0 Superalloy (-4 Steel, -2 Ni, -1 Cr, -1 Ti)","+1.0 Süperalaşım (-4 Çelik, -2 Ni, -1 Cr, -1 Ti)"
"+1.0 Uranium","+1.0 Uranyum"
"+1.0 Void Crystal (-2.5 Essence)","+1.0 Hiçlik Kristali (-2.5 Öz)"
"+1.2 AdvCircuit (-2.4 Semiconductor, -1.2 Au, -2.4 StructuralComponent)","+1.2 Gelişmiş Devre (-2.4 Yarı İletken, -1.2 Au, -2.4 Yapısal Bileşen)"
"+1.3 Circuit (-2.5 Si, -2.5 Cu, -1.3 Resin)","+1.3 Devre (-2.5 Si, -2.5 Cu, -1.3 Reçine)"
"+1.3 Manganese (Seafloor Mining)","+1.3 Manganez (Deniz Tabanı Madenciliği)"
"+1.3 Void Essence","+1.3 Hiçlik Özü"
"+1.5 Au (-40 Dirt, -40 Water)","+1.5 Au (-40 Toprak, -40 Su)"
"+1.5 Semiconductor (-3 Si, -1.5 Germanium)","+1.5 Yarı İletken (-3 Si, -1.5 Germanyum)"
"+1.5 Ti (-3 Dolomite)","+1.5 Ti (-3 Dolomit)"
"+1.7 Lithium Ore (Efficient)","+1.7 Lityum Madeni (Verimli)"
"+1.7 Malachite (Heavy)","+1.7 Malahit (Ağır)"
"+10 Cell T1 (-5 Si)","+10 Hücre T1 (-5 Si)"
"+10 Dirt","+10 Toprak"
"+10 Slug T1 (-5 Fe)","+10 Mermi T1 (-5 Fe)"
"+10 Water","+10 Su"
"+10% Nitrogen Yield","+%10 Azot Verimi"
"+1000.0 kW (-5 Wood)","+1000.0 kW (-5 Odun)"
"+1000000.0 kW (Constant)","+1000000.0 kW (Sabit)"
"+15% Processing Speed","+%15 İşlem Hızı"
"+15.0 kW","+15.0 kW"
"+15000.0 kW","+15000.0 kW"
"+16000000.0 kW (-1 Quantum Core)","+16000000.0 kW (-1 Kuantum Çekirdeği)"
"+2 Pt, +1 Ir","+2 Pt, +1 Ir"
"+2.0 Tungsten","+2.0 Tungsten"
"+2.5 Bauxite (Industrial)","+2.5 Boksit (Endüstriyel)"
"+2.5 Quartz (High Speed)","+2.5 Kuvars (Yüksek Hız)"
"+2.5 Steel","+2.5 Çelik"
"+25% Processing Speed","+%25 İşlem Hızı"
"+250.0 kW (Stable)","+250.0 kW (Sabit)"
"+250000.0 kW (-5 Uranium)","+250000.0 kW (-5 Uranyum)"
"+3.1 Cell T2 (-1.9 Si, -1.3 Resin)","+3.1 Hücre T2 (-1.9 Si, -1.3 Reçine)"
"+3.1 Slug T2 (-3.1 Steel, -1.3 Al)","+3.1 Mermi T2 (-3.1 Çelik, -1.3 Al)"
"+4 H, +2 He, +2 N","+4 H, +2 He, +2 N"
"+4000.0 kW","+4000.0 kW"
"+4000000.0 kW","+4000000.0 kW"
"+5 Fe, +1.7 Si (-8.3 Dirt, -8.3 Water)","+5 Fe, +1.7 Si (-8.3 Toprak, -8.3 Su)"
"+5 H, +2.5 O (-2.5 Water)","+5 H, +2.5 O (-2.5 Su)"
"+60.0 kW (-1 C)","+60.0 kW (-1 C)"
"+60000.0 kW (-2 Pd-Cells)","+60000.0 kW (-2 Pd-Hücreleri)"
"-20% Crafting Time","-%20 Üretim Süresi"
"A crystallized energy matrix extracted from a Zone 1 boss. Used for zone-access research.","Bölge 1 bölüm sonu canavarından elde edilen kristalize enerji matrisi. Bölge erişim araştırması için kullanılır."
"A dense mineral core from an Asteroid Belt boss. Used for zone-access research.","Asteroit Kuşağı bölüm sonu canavarından elde edilen yoğun mineral çekirdeği. Bölge erişim araştırması için kullanılır."
"A frozen energy lattice from a Cryofield boss. Used for zone-access research.","Kriyosaha bölüm sonu canavarından elde edilen donmuş enerji kafesi. Bölge erişim araştırması için kullanılır."
"A neutronium-laced core from a Sector Epsilon boss. Used for zone-access research.","Sektör Epsilon bölüm sonu canavarından elde edilen nötronyum katkılı çekirdek. Bölge erişim araştırması için kullanılır."
"A radiation-hardened core from a Sector Beta boss. Used for zone-access research.","Sektör Beta bölüm sonu canavarından elde edilen radyasyona dayanıklı çekirdek. Bölge erişim araştırması için kullanılır."
"A superheated core from a Mars Debris boss. Used for zone-access research.","Mars Enkazı bölüm sonu canavarından elde edilen aşırı ısınmış çekirdek. Bölge erişim araştırması için kullanılır."
"A void-charged energy core from a Sector Delta boss. Used for zone-access research.","Sektör Delta bölüm sonu canavarından elde edilen hiçlik yüklü enerji çekirdeği. Bölge erişim araştırması için kullanılır."
"A xenon-infused power matrix from a Sector Alpha boss. Used for zone-access research.","Sektör Alfa bölüm sonu canavarından elde edilen ksenon aşılanmış güç matrisi. Bölge erişim araştırması için kullanılır."
"AI Core","YZ Çekirdeği"
"AI Logic Core","YZ Mantık Çekirdeği"
"AI Processor","YZ İşlemcisi"
"AI Targeting","YZ Hedefleme"
"Ablative Plating","Ablatif Kaplama"
"Abundant gas, essential for life support systems.","Bol bulunan gaz, yaşam destek sistemleri için hayati."
"Acid Revenant","Asit Heyulası"
"Acid Serpent","Asit Yılanı"
"Adv. Maintenance Kit","Gelişmiş Bakım Kiti"
"Advanced Ballistics Plant","Gelişmiş Balistik Fabrikası"
"Advanced Battery Tech","Gelişmiş Batarya Teknolojisi"
"Advanced Circuit","Gelişmiş Devre"
"Advanced Circuit Foundry","Gelişmiş Devre Dökümhanesi"
"Advanced Circuitry","Gelişmiş Devreler"
"Advanced Co-Ni-Cr alloy. Extreme heat resistance.","Gelişmiş Co-Ni-Cr alaşımı. Ekstrem ısı direnci."
"Advanced Fuel Cell Array","Gelişmiş Yakıt Hücresi Dizisi"
"Advanced Lithium-Cobalt energy storage.","Gelişmiş Lityum-Kobalt enerji deposu."
"Advanced Materials","Gelişmiş Materyaller"
"Advanced Metallurgy","Gelişmiş Metalürji"
"Advanced Mineralogy","Gelişmiş Mineraloji"
"Advanced Rocketry","Gelişmiş Roket Mühendisliği"
"Advanced alloys forge.","Gelişmiş alaşım ocağı."
"Advanced artificial intelligence substrate.","Gelişmiş yapay zeka alt tabakası."
"Advanced battery tech. High energy density.","Gelişmiş batarya teknolojisi. Yüksek enerji yoğunluğu."
"Advanced catalyst for rare metal refining.","Nadir metal arıtımı için gelişmiş katalizör."
"Advanced high-density battery. Requires Sulfur for electrolyte.","Gelişmiş yüksek yoğunluklu batarya. Elektrolit için Sülfür gerektirir."
"Advanced industrial or operational component.","Gelişmiş endüstriyel veya operasyonel bileşen."
"Advanced technical schematics from Martian ruins. Required for mid-game research.","Mars harabelerinden gelişmiş teknik şemalar. Oyun ortası araştırmaları için gereklidir."
"Aeon Alloy","Eon Alaşımı"
"Al-Mg Alloy","Al-Mg Alaşımı"
"Alien Frigate","Uzaylı Fırkateyni"
"Alien Probe","Uzaylı Sondası"
"Alpha Core","Alfa Çekirdeği"
"Alpha Vanguard Trophy","Alfa Öncüsü Ganimeti"
"Aluminum","Alüminyum"
"Aluminum Wire","Alüminyum Tel"
"Aluminum Wiring","Alüminyum Tesisat"
"Aluminum ore.","Alüminyum cevheri."
"Aluminum-Magnesium Alloy","Alüminyum-Magnezyum Alaşımı"
"An exotic matter core from a Sector Gamma boss. Used for zone-access research.","Sektör Gama bölüm sonu canavarından egzotik madde çekirdeği. Bölge erişim araştırması için kullanılır."
"Analyze Void Artifact","Hiçlik Eserini İncele"
"Ancient Technology","Kadim Teknoloji"
"Anomalous object reacting to zero-point energy. Required for Capital Ships.","Sıfır noktası enerjisine tepki veren anormal nesne. Ana Gemiler için gereklidir."
"Antimatter Engine","Antimadde Motoru"
"Antimatter Generator","Antimadde Jeneratörü"
"Antimatter Particle","Antimadde Parçacığı"
"Antimatter Warhead","Antimadde Savaş Başlığı"
"Antimatter-infused capital buster.","Antimadde destekli ana gemi yokedici."
"Heavy steel slugs, cast for weight rather than speed.","Hızdan çok ağırlık için dökülmüş ağır çelik mermiler."
"Armor-piercing heavy slugs. +15 Kinetic Dmg per shot.","Zırh delici ağır mermiler. Atış başına +15 Kinetik Hasar."
"Armor-shredding heavy rounds.","Zırh parçalayıcı ağır mermiler."
"Arsenal Doctrine","Cephanelik Doktrini"
"Assemble Battery Cell","Batarya Hücresi Montajı"
"Assemble a precision targeting computer from advanced circuits.","Gelişmiş devrelerden hassas hedefleme bilgisayarı monte et."
"Asteroid Belt","Asteroit Kuşağı"
"Asteroid Belt Authorization","Asteroit Kuşağı Yetkisi"
"Asteroid Core","Asteroit Çekirdeği"
"Aurora Deep-Space","Aurora Derin Uzay"
"Auto-Excavator (XL)","Oto-Kazıcı (XL)"
"Autocannon","Otomatik Top"
"Automated Carbon Press","Otomatik Karbon Presi"
"Automated Smelter","Otomatik İzabe Fırını"
"Automated Smelting","Otomatik İzabe"
"Automated copper smelting.","Otomatik bakır izabesi."
"Automated germanium refining.","Otomatik germanyum arıtımı."
"Automated lithium purification.","Otomatik lityum saflaştırması."
"Automated nickel extraction.","Otomatik nikel çıkarımı."
"Automated silicon refining.","Otomatik silikon arıtımı."
"Automated tin smelting.","Otomatik kalay izabesi."
"Automated wood carbonization.","Otomatik odun kömürleşmesi."
"Automated wood collection.","Otomatik odun toplama."
"Automated zinc reduction.","Otomatik çinko indirgemesi."
"Auxiliary Slot","Yardımcı Yuva"
"Ballistics Optimization","Balistik Optimizasyonu"
"Basic Battery","Temel Batarya"
"Basic Cell Factory","Temel Hücre Fabrikası"
"Basic Electronics","Temel Elektronik"
"Basic Engineering","Temel Mühendislik"
"Basic Kinetic Foundry","Temel Kinetik Dökümhanesi"
"Basic Shield","Temel Kalkan"
"Basic Shield Booster","Temel Kalkan Güçlendirici"
"Basic Steel Smelting","Temel Çelik İzabesi"
"Basic Thruster","Temel İtici"
"Basic aluminum ore extraction.","Temel alüminyum cevheri çıkarımı."
"Basic energy storage for ships.","Gemiler için temel enerji depolama."
"Basic energy storage. Restores 10% Shield Integrity.","Temel enerji deposu. %10 Kalkan Bütünlüğü yeniler."
"Basic malachite extraction.","Temel malahit çıkarımı."
"Basic silica excavation.","Temel silika kazısı."
"Basic spodumene extraction.","Temel spodümen çıkarımı."
"Basic-oxygen furnace — blow Oxygen through the molten Iron and Carbon to burn off impurities into Steel.","Temel oksijen fırını — safsızlıkları yakıp Çelik elde etmek için erimiş Demir ve Karbona Oksijen üfler."
"Battlecruiser","Muharebe Kruvazörü"
"Bauxite Mine","Boksit Madeni"
"Bauxite Ore","Boksit Cevheri"
"Bauxite Smelting","Boksit İzabesi"
"Bauxite Strip Miner","Boksit Şerit Madencisi"
"Belt Warden Trophy","Kuşak Gardiyanı Ganimeti"
"Beryllium","Berilyum"
"Beta Colony Charter","Beta Kolonisi Sözleşmesi"
"Beta Colossus","Beta Devi"
"Beta Core","Beta Çekirdeği"
"Beta Governor Trophy","Beta Valisi Ganimeti"
"Bind a primordial shard to diamond and a void lattice into a stable matrix.","İlkel bir parçayı elmasa ve hiçlik kafesini kararlı bir matrise bağla."
"Bind a quantum core into an osmium-superalloy frame for capital-grade structure.","Ana gemi düzeyinde yapı için kuantum çekirdeğini osmiyum-süperalaşım çerçeveye bağla."
"Bind biohazard residue with regenerative plating into a self-knitting bio-alloy.","Biyotehlike kalıntısını rejeneratif kaplama ile birleştirip kendi kendini ören biyo-alaşıma dönüştür."
"Bio-Agent Synthesis","Biyo-Ajan Sentezi"
"Bio-Harvester","Biyo-Toplayıcı"
"Bio-Horror","Biyo-Dehşet"
"Bio-Reactor Synthesis","Biyo-Reaktör Sentezi"
"Bio-Reactor Vat","Biyo-Reaktör Tankı"
"Bio-Weapon Coating","Biyo-Silah Kaplaması"
"Bioforged Alloy","Biyodövme Alaşım"
"Biohazard Sample","Biyotehlike Numunesi"
"Biohazard Warhead","Biyotehlike Savaş Başlığı"
"Biomass Plant","Biyokütle Tesisi"
"Biometric authorization token required for FTL travel into protected sectors.","Korumalı sektörlere Işıktan Hızlı yolculuk için gereken biyometrik yetkilendirme jetonu."
"Biosphere Dome","Biyosfer Kubbesi"
"Biosynthetic Hull Patch","Biyosentetik Gövde Yaması"
"Blast Baffling","Patlama Saptırıcı"
"Blast Furnace","Yüksek Fırın"
"Blight Drone","Musibet Dronu"
"Blight Titan","Musibet Titanı"
"Blueprint Bandwidth","Plan Bant Genişliği"
"Blueprint Cache","Plan Zulası"
"Boron","Bor"
"Building Overclock","Bina Hız Aşırtma"
"Burn Wood to produce Carbon. The backbone of metallurgy.","Karbon üretmek için Odun yak. Metalürjinin belkemiği."
"Cannibalise finished Circuits into a Damaged Circuitry substitute. Lossy (6:1) — Tech enemies drop it far faster — but this is the deadlock safety net.","Tamamlanmış Devreleri Hasarlı Devre yerine kullanmak için parçala. Verimsizdir (6:1) — Teknoloji düşmanları çok daha hızlı düşürür — ama bu bir tıkanma güvenlik ağıdır."
"Cannibalize salvaged boards into an advanced circuit — combat's shortcut past the semiconductor chain.","Kurtarılmış kartları gelişmiş bir devreye dönüştür — yarı iletken zincirini atlamak için çatışmanın kısayolu."
"Capacitor Pulse","Kapasitör Darbesi"
"Capacitor Shard","Kapasitör Parçası"
"Capacitor discharge. Restores 30 Shield Integrity instantly.","Kapasitör deşarjı. Anında 30 Kalkan Bütünlüğü yeniler."
"Capital Ship","Ana Gemi"
"Capital Ship Armament","Ana Gemi Silahları"
"Capital-class antimatter buster. +150 Explosive Dmg.","Ana gemi sınıfı antimadde yokedici. +150 Patlayıcı Hasarı."
"Captured electromagnetic pulse schematics from the EMP Nexus. First-clear reward. Can be used to craft an EMP Generator module.","EMP Nexus'tan ele geçirilen elektromanyetik darbe şemaları. İlk temizleme ödülü. EMP Jeneratörü modülü üretmek için kullanılabilir."
"Carbon","Karbon"
"Carbon Fiber","Karbon Fiber"
"Carbon Fiber Plate","Karbon Fiber Plaka"
"Carbon Generator","Karbon Jeneratörü"
"Carbon Hull Lattice","Karbon Gövde Kafesi"
"Carbon nanotube mesh. Repairs 50 Shield Integrity.","Karbon nanotüp ağı. 50 Kalkan Bütünlüğünü onarır."
"Carrier","Taşıyıcı"
"Cassiterite Ore","Kassiterit Cevheri"
"Cassiterite extraction.","Kassiterit çıkarımı."
"Catalytic Electrodes","Katalitik Elektrotlar"
"Caustic Golem","Kostik Golem"
"Caustic Leviathan","Kostik Leviathan"
"Caustic Revenant","Kostik Heyula"
"Caustic Sovereign","Kostik Hükümdar"
"Central processing unit of a defense turret.","Bir savunma taretinin merkezi işlem birimi."
"Charcoal Kiln","Odun Kömürü Fırını"
"Charged Golem","Yüklü Golem"
"Chemical Leaching","Kimyasal Süzme"
"Chip Fabrication","Çip Üretimi"
"Chip Fabrication Line","Çip Üretim Hattı"
"Chitin Hull Patch","Kitin Gövde Yaması"
"Chondrite Alloy","Kondrit Alaşımı"
"Chromite Excavator","Kromit Kazıcı"
"Chromite Ore","Kromit Cevheri"
"Chromium","Krom"
"Chromium Forge","Krom Ocağı"
"Chromium Reduction","Krom İndirgemesi"
"Chromium ore extraction.","Krom cevheri çıkarımı."
"Chrono Core","Krono Çekirdeği"
"Chrono Disruptor","Krono Bozucu"
"Chrono-Siphon","Krono-Sifon"
"Circuit Board","Devre Kartı"
"Claim Jumper","Maden Hırsızı"
"Cluster Warhead","Misket Savaş Başlığı"
"Co-Li Battery","Co-Li Bataryası"
"Cobalt","Kobalt"
"Cobalt Battery","Kobalt Bataryası"
"Cobalt Refinery","Kobalt Rafinerisi"
"Cold Tactical Bridge","Soğuk Taktiksel Köprü"
"Collect Quartz Clusters","Kuvars Kümelerini Topla"
"Colony AI Integration","Koloni YZ Entegrasyonu"
"Colony Data Core","Koloni Veri Çekirdeği"
"Colony Salvage","Koloni Hurdası"
"Colony-Forged Alloy","Koloni Yapımı Alaşım"
"Colossus Aegis","Devasa Kalkan"
"Colossus Bulwark","Devasa Siper"
"Colossus Cannon","Devasa Top"
"Colossus Dominion","Devasa Hakimiyet"
"Combat Heuristics","Savaş Sezgileri"
"Combat Sight","Savaş Görüşü"
"Combine Common artifacts and recovered Martian relics with circuits to create Rare research data.","Nadir araştırma verileri oluşturmak için Sıradan eserleri ve kurtarılan Mars kalıntılarını devrelerle birleştir."
"Combine conductive copper traces with silicon wafers.","İletken bakır yolları silikon levhalarla birleştir."
"Common Research Artifact","Sıradan Araştırma Eseri"
"Common soil containing trace minerals.","Eser miktarda mineral içeren sıradan toprak."
"Compile Exotic Artifact","Egzotik Eseri Derle"
"Composite Loom","Kompozit Dokuma Tezgahı"
"Composite Plate","Kompozit Plaka"
"Composite Weave","Kompozit Örgü"
"Compress Carbon into high-density Graphite.","Karbonu yüksek yoğunluklu Grafite sıkıştır."
"Compress helium and nitrogen into supercooled fluid.","Helyum ve azotu aşırı soğutulmuş sıvıya sıkıştır."
"Compress raw Neutronium with osmium and superalloy into structural plate.","Ham Nötronyumu osmiyum ve süperalaşım ile yapısal plakaya sıkıştır."
"Compress void artifacts into quantum-entangled processing cores.","Hiçlik eserlerini kuantum dolanık işlemci çekirdeklerine sıkıştır."
"Compressed carbon used in heat shields and electronics.","Isı kalkanlarında ve elektronikte kullanılan sıkıştırılmış karbon."
"Concentrate void energy into pure exotic matter.","Hiçlik enerjisini saf egzotik maddeye yoğunlaştır."
"Concentrated energy from the void.","Hiçlikten gelen yoğunlaştırılmış enerji."
"Concentrated viral agent.","Yoğunlaştırılmış viral ajan."
"Concussion Missile","Sarsıntı Füzesi"
"Condense Osmium Vapor","Osmiyum Buharını Yoğunlaştır"
"Conductive writing for lightweight electronics.","Hafif elektronikler için iletken yazım."
"Contain superheated gas.","Aşırı ısınmış gazı hapset."
"Copper","Bakır"
"Copper Mine","Bakır Madeni"
"Copper Smelter","Bakır İzabe Fırını"
"Copper Smelting","Bakır İzabesi"
"Copper carbonate hydroxide mineral. Source of Copper.","Bakır karbonat hidroksit minerali. Bakır kaynağı."
"Core capable of manipulating local time.","Yerel zamanı manipüle edebilen çekirdek."
"Corroded Golem","Aşınmış Golem"
"Corrosion Armaments","Korozyon Silahları"
"Corrosion Behemoth","Korozyon Devi"
"Corrosion Blaster","Korozyon Püskürtücü"
"Corrosion Sentinel","Korozyon Nöbetçisi"
"Corvette","Korvet"
"Cracked Amethyst Core","Çatlak Ametist Çekirdeği"
"Cracked Cobalt Core","Çatlak Kobalt Çekirdeği"
"Cracked Crimson Core","Çatlak Kızıl Çekirdeği"
"Cracked Topaz Core","Çatlak Topaz Çekirdeği"
"Cross-reference navigation data to reveal hidden coordinates and bounty.","Gizli koordinatları ve ödülleri ortaya çıkarmak için navigasyon verilerini çapraz kontrol et."
"Crucial for breathing and combustion.","Solunum ve yanma için hayati önem taşır."
"Crude energy cells. Restores 15% Shield Integrity.","İlkel enerji hücreleri. %15 Kalkan Bütünlüğü yeniler."
